Capital One Diamond Partner,Prime/subprime bank,Capital One Diamond Partner July 2025,,Yes,1500,,,,1.3,1.75,0.2,,4000,75000,1200,84,12,150000,1000,5000,8000,,Review,Review,Review,Review,Review,Review,Review,Review,"NDI minimum $50. Back end allowance tiers $8k/$6k/$5k/$4k/$3k.","Vehicle age <=12 years, mileage <=150k. Tiers 0-5 can run 84+ if age <=5 and amount financed >20k.","Dealer payouts must contract at buy rate.","diamond PDF"
Capital One Non-Diamond,Prime/subprime bank,Capital One Non-Diamond July 2025,,Yes,1500,,,,1.3,1.75,0.2,,4000,75000,1200,75,10,120000,1000,4000,8000,,Review,Review,Review,Review,Review,Review,Review,Review,"Income may be verified. NDI minimum $50.","Vehicle age <=10 years, mileage <=120k. Max term by mileage 75/72/60.","Capital One prequalified leads may access tiers 0-9 and max term 84 under notes.","co1/co2/co3 PDFs"
AUL Powertrain/Vintage,VSC/backend only,AUL Used Vehicle Program SNB Series,,Yes,,,,,,,,,,,,,,,,,Yes,No,Review,Review,Review,Review,Review,No,"VSC only. Day one coverage, roadside/towing, standard deductible. Surcharges for AWD, diesel, turbo, lift kit, etc.","Eligible makes listed. Excludes many highline/exotic/performance models and vehicles over one-ton.","Use as service contract/backend pricing reference, not bank financing approval.","aul PDFs"
Lancaster Financial #1A,Special finance lender,Lancaster Financial Group Buying Guidelines 2026 V1,,No,3500,12,,,,,,,,,,60,,,,,,,Yes,Review,Review,Review,Review,Review,Review,Review,"Minimum gross monthly income $3,500. 1 year on job; 6 months residence. Prior repo only with money down. Max 25% payment to net income.","2018+ and newer 75k max miles plus select makes. #1A: 1 income minimum 1 month; no open/dismissed BK; prior repo must have quality bill; 25% max.","Handwritten notes mention Liz 419-326-1350 and bonus/take notes.","uploaded Lancaster image"
Lancaster Financial #1,Special finance lender,Lancaster Financial Group Buying Guidelines 2026 V1,,No,2500,1,,,,,,,,,,54,,,,,,,Yes,Review,Review,Review,Review,Review,Review,Review,"Minimum gross monthly income $2,500; 1 month residence; previous repos N/A/must have quality bill; 25% max payment to net income.","2016+ and newer 85k max miles; Honda/Mazda/Toyota/Subaru +15k miles.","Yeas filed and approved bankruptcy language from source.","uploaded Lancaster image"
Lancaster Financial #2,Special finance lender,Lancaster Financial Group Buying Guidelines 2026 V1,,Review,2400,,,,,,,,,,,51,,100000,,,,,Yes,Review,Review,Review,Review,Review,Review,Review,"Income minimum $2,400. Up to two previous repos. 25% max payment to net income.","2014+ and newer, 90k max miles; Honda/Mazda/Toyota/Subaru +15k miles.","Lien/contact info in image footer.","uploaded Lancaster image"
Lancaster Financial #3,Special finance lender,Lancaster Financial Group Buying Guidelines 2026 V1,,Review,2300,,,,,,,,,,,48,,110000,,,,,Yes,Review,Review,Review,Review,Review,Review,Review,"Income minimum $2,300. Up to two previous repos. 25% max payment to net income.","2012+ and newer, 100k max miles; Honda/Mazda/Toyota/Subaru +15k miles.","Backend products vary by tier.","uploaded Lancaster image"
Lancaster Financial #4,Special finance lender,Lancaster Financial Group Buying Guidelines 2026 V1,,Review,2000,,,,,,,,,,,42,,110000,,,,,Yes,Review,Review,Review,Review,Review,Review,Review,"Income minimum $2,000. Up to two previous repos. 25% max payment to net income.","2012+ and newer, 110k max miles; Honda/Mazda/Toyota/Subaru +15k miles.","Dealer commissions listed separately.","uploaded Lancaster image"
Credit Acceptance Style Program,Subprime lender,Unknown CO/CA program docs,,Yes,,,,,,,,,,,,,,,,,Review,Review,Review,Review,Review,Review,Review,Review,"Uploaded CO documents need full manual review. Treat as placeholder until exact lender/program identified.","Likely special finance structure/rate sheets. Do not hardcode as active until reviewed.","Needs document OCR/manual extraction before activation.","co PDFs"
Fallback Manual Review,Manual review,Internal default rule,,,,,,,,,,,,,,,,,,,,Review,Review,Review,Review,Review,Review,Review,Review,"If required values are missing or guideline is unclear, classify as INFO NEEDED/REVIEW, not fail.","Never final-deny customers from this tool. Bank callback controls.","Compliance disclaimer required on every match output.","Internal rule"
